ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742126::Name,1075849176::Physical Name,1075849763::Parent Entity  [read only],1075849764::Child Entity  [read only],1075850516::User Formatted Name  [read only]
"1075839016::450","Payment R/10 Credit Card",Relationship,"R/10","R_10","Payment","Credit Card","Payment R/10 Credit Card"
"1075839016::461","Payment R/11 Epay",Relationship,"R/11","R_11","Payment","Epay","Payment R/11 Epay"
"1075839016::478","City has Address",Relationship,"R/13","R_13","City","Address","City has Address"
"1075839016::484","State has City",Relationship,"R/14","R_14","State","City","State has City"
"1075839016::497","Address belongs to a Customer",Relationship,"R/16","R_16","Address","Customer","Address belongs to a Customer"
"1075839016::506","Customer has Account",Relationship,"R/18","R_18","Customer","Account","Customer has Account"
"1075839016::536","TvShow has Season",Relationship,"R/21","R_21","TvShow","Season","TvShow has Season"
"1075839016::545","Season has Episode",Relationship,"R/22","R_22","Season","Episode","Season has Episode"
"1075839016::567","Address belongs to a Server",Relationship,"R/24","R_24","Address","Server","Address belongs to a Server"
"1075839016::624","Server has ServerLoad",Relationship,"R/32","R_32","Server","ServerLoad","Server has ServerLoad"
"1075839016::674","Plan has Payment",Relationship,"R/39","R_39","Plan","Payment","Plan has Payment"
"1075839016::680","Account does Payment",Relationship,"R/40","R_40","Account","Payment","Account does Payment"
"1075839016::688","Plan belongs to Account",Relationship,"R/41","R_41","Plan","Account","Plan belongs to Account"
"1075839016::699","Director directs a Production",Relationship,"R/42","R_42","Director","Production","Director directs a Production"
"1075839016::709","Production has License",Relationship,"R/44","R_44","Production","License","Production has License"
"1075839016::714","Production is streamed through Server",Relationship,"R/45","R_45","Production","Server","Production is streamed through Server"
"1075839016::717","R/46 (Production to Production Server)",Relationship,"R/46","R_46","Production","Production Server","R/46 (Production to Production Server)"
"1075839016::722","R/47 (Server to Production Server)",Relationship,"R/47","R_47","Server","Production Server","R/47 (Server to Production Server)"
"1075839016::736","Production R/48 TvShow",Relationship,"R/48","R_48","Production","TvShow","Production R/48 TvShow"
"1075839016::753","Production R/49 Movie",Relationship,"R/49","R_49","Production","Movie","Production R/49 Movie"
"1075839016::769","Production has Rating",Relationship,"R/50","R_50","Production","Rating","Production has Rating"
"1075839016::774","Account makes a Rating",Relationship,"R/51","R_51","Account","Rating","Account makes a Rating"
"1075839016::787","Actor plays in Production",Relationship,"R/52","R_52","Actor","Production","Actor plays in Production"
"1075839016::790","R/53 (Actor to Actor Production)",Relationship,"R/53","R_53","Actor","Actor Production","R/53 (Actor to Actor Production)"
"1075839016::795","R/54 (Production to Actor Production)",Relationship,"R/54","R_54","Production","Actor Production","R/54 (Production to Actor Production)"
